,customer_no,location
0,1,dairy
1,1,dairy
2,1,checkout
3,2,dairy
4,2,dairy
5,2,dairy
6,2,checkout
7,3,dairy
8,3,dairy
9,3,checkout
10,4,dairy
11,4,dairy
12,4,dairy
13,4,dairy
14,4,checkout
15,5,spices
16,5,checkout
17,6,spices
18,6,dairy
19,6,dairy
20,6,dairy
21,6,dairy
22,6,dairy
23,6,dairy
24,6,dairy
25,6,dairy
26,6,dairy
27,6,dairy
28,6,dairy
29,6,dairy
30,6,spices
31,6,drinks
32,6,drinks
33,6,drinks
34,6,drinks
35,6,drinks
36,6,drinks
37,6,drinks
38,6,spices
39,6,dairy
40,6,spices
41,6,spices
42,6,checkout
43,7,spices
44,7,drinks
45,7,drinks
46,7,drinks
47,7,drinks
48,7,spices
49,7,spices
50,7,fruit
51,7,fruit
52,7,checkout
53,8,fruit
54,8,fruit
55,8,fruit
56,8,checkout
57,9,dairy
58,9,dairy
59,9,dairy
60,9,dairy
61,9,dairy
62,9,dairy
63,9,fruit
64,9,checkout
65,10,fruit
66,10,fruit
67,10,checkout
68,11,drinks
69,11,drinks
70,11,checkout
71,12,spices
72,12,drinks
73,12,drinks
74,12,drinks
75,12,checkout
76,13,dairy
77,13,dairy
78,13,dairy
79,13,dairy
80,13,dairy
81,13,dairy
82,13,dairy
83,13,spices
84,13,dairy
85,13,fruit
86,13,checkout
87,14,fruit
88,14,fruit
89,14,fruit
90,14,checkout
91,15,spices
92,15,fruit
93,15,fruit
94,15,fruit
95,15,fruit
96,15,checkout
97,16,dairy
98,16,dairy
99,16,spices
100,16,spices
101,16,checkout
102,17,fruit
103,17,fruit
104,17,fruit
105,17,fruit
106,17,fruit
107,17,fruit
108,17,fruit
109,17,fruit
110,17,fruit
111,17,fruit
112,17,fruit
113,17,checkout
114,18,fruit
115,18,fruit
116,18,dairy
117,18,dairy
118,18,dairy
119,18,checkout
120,19,spices
121,19,drinks
122,19,drinks
123,19,drinks
124,19,drinks
125,19,drinks
126,19,drinks
127,19,drinks
128,19,checkout
129,20,drinks
130,20,drinks
131,20,checkout
132,21,drinks
133,21,drinks
134,21,spices
135,21,checkout
136,22,fruit
137,22,fruit
138,22,dairy
139,22,dairy
140,22,checkout
141,23,fruit
142,23,checkout
143,24,drinks
144,24,drinks
145,24,drinks
146,24,drinks
147,24,drinks
148,24,drinks
149,24,checkout
150,25,spices
151,25,dairy
152,25,spices
153,25,drinks
154,25,drinks
155,25,drinks
156,25,checkout
157,26,fruit
158,26,fruit
159,26,fruit
160,26,fruit
161,26,dairy
162,26,dairy
163,26,dairy
164,26,dairy
165,26,checkout
166,27,spices
167,27,spices
168,27,spices
169,27,dairy
170,27,dairy
171,27,dairy
172,27,dairy
173,27,dairy
174,27,dairy
175,27,dairy
176,27,dairy
177,27,dairy
178,27,dairy
179,27,dairy
180,27,dairy
181,27,dairy
182,27,dairy
183,27,checkout
184,28,drinks
185,28,drinks
186,28,drinks
187,28,checkout
188,29,drinks
189,29,drinks
190,29,checkout
191,30,spices
192,30,drinks
193,30,fruit
194,30,dairy
195,30,fruit
196,30,fruit
197,30,checkout
198,31,spices
199,31,checkout
200,32,drinks
201,32,drinks
202,32,drinks
203,32,checkout
204,33,fruit
205,33,fruit
206,33,fruit
207,33,dairy
208,33,dairy
209,33,spices
210,33,dairy
211,33,drinks
212,33,drinks
213,33,spices
214,33,drinks
215,33,drinks
216,33,drinks
217,33,drinks
218,33,drinks
219,33,drinks
220,33,checkout
221,34,spices
222,34,drinks
223,34,drinks
224,34,drinks
225,34,drinks
226,34,drinks
227,34,drinks
228,34,drinks
229,34,spices
230,34,fruit
231,34,checkout
232,35,dairy
233,35,drinks
234,35,drinks
235,35,drinks
236,35,checkout
237,36,dairy
238,36,checkout
239,37,fruit
240,37,fruit
241,37,fruit
242,37,fruit
243,37,checkout
244,38,fruit
245,38,fruit
246,38,fruit
247,38,fruit
248,38,dairy
249,38,dairy
250,38,dairy
251,38,checkout
252,39,dairy
253,39,checkout
254,40,dairy
255,40,dairy
256,40,dairy
257,40,spices
258,40,checkout
259,41,drinks
260,41,dairy
261,41,spices
262,41,spices
263,41,drinks
264,41,drinks
265,41,drinks
266,41,checkout
267,42,dairy
268,42,dairy
269,42,dairy
270,42,dairy
271,42,spices
272,42,spices
273,42,fruit
274,42,dairy
275,42,dairy
276,42,dairy
277,42,dairy
278,42,dairy
279,42,dairy
280,42,dairy
281,42,dairy
282,42,dairy
283,42,dairy
284,42,dairy
285,42,checkout
286,43,fruit
287,43,fruit
288,43,dairy
289,43,dairy
290,43,dairy
291,43,dairy
292,43,dairy
293,43,dairy
294,43,dairy
295,43,dairy
296,43,dairy
297,43,dairy
298,43,dairy
299,43,fruit
300,43,fruit
301,43,dairy
302,43,dairy
303,43,checkout
304,44,fruit
305,44,checkout
306,45,spices
307,45,dairy
308,45,dairy
309,45,dairy
310,45,fruit
311,45,drinks
312,45,drinks
313,45,drinks
314,45,fruit
315,45,fruit
316,45,dairy
317,45,dairy
318,45,dairy
319,45,dairy
320,45,dairy
321,45,dairy
322,45,dairy
323,45,dairy
324,45,dairy
325,45,dairy
326,45,dairy
327,45,dairy
328,45,dairy
329,45,dairy
330,45,dairy
331,45,dairy
332,45,dairy
333,45,dairy
334,45,dairy
335,45,checkout
336,46,fruit
337,46,checkout
338,47,drinks
339,47,fruit
340,47,fruit
341,47,fruit
342,47,fruit
343,47,dairy
344,47,dairy
345,47,dairy
346,47,dairy
347,47,checkout
348,48,drinks
349,48,checkout
350,49,spices
351,49,checkout
352,50,fruit
353,50,drinks
354,50,drinks
355,50,spices
356,50,checkout
357,51,fruit
358,51,fruit
359,51,fruit
360,51,dairy
361,51,dairy
362,51,checkout
363,52,drinks
364,52,drinks
365,52,spices
366,52,spices
367,52,fruit
368,52,fruit
369,52,fruit
370,52,drinks
371,52,fruit
372,52,fruit
373,52,checkout
374,53,fruit
